[2025-10-17 13:37:43.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:44.456] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2025-10-17 13:37:44.457] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2025-10-17 13:37:44.806] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2025-10-17 13:37:44.806] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2025-10-17 13:37:44.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:45.409] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-10-17 13:37:45.409] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-10-17 13:37:45.619] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-10-17 13:37:45.619] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-10-17 13:37:45.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:45.964] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2025-10-17 13:37:45.965] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2025-10-17 13:37:46.872] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2025-10-17 13:37:46.872] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2025-10-17 13:37:46.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:47.360] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2025-10-17 13:37:47.360] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2025-10-17 13:37:47.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:48.185] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2025-10-17 13:37:48.186] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2025-10-17 13:37:48.568] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2025-10-17 13:37:48.569] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2025-10-17 13:37:48.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:48.986] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-10-17 13:37:48.987] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-10-17 13:37:49.748] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":32}
[2025-10-17 13:37:49.748] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":32}
[2025-10-17 13:37:49.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:50.144] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2025-10-17 13:37:50.145] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2025-10-17 13:37:50.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:51.035] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-10-17 13:37:51.036] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-10-17 13:37:51.418] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-10-17 13:37:51.419] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-10-17 13:37:51.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:52.198] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-10-17 13:37:52.199] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-10-17 13:37:52.583] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-10-17 13:37:52.583] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-10-17 13:37:52.904] [info]  Splash.updateCountdownSeconds: undefined
